Product Name,Price,Source,url,Image,name
15-In-1 Vegetable Fruit Chopper Cutter Food Onion Veggie Dicer Slicer Kitchen US,₹1328,eBay,https://www.ebay.com/itm/145485161544?_skw=vegetable+cutter&itmmeta=01JS3SD83KEMK7AM3QQD7DG7S8&hash=item21df976448:g:iPcAAOSwE9hlcVbw&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dJr9V51BaSRpFKtIpqkx8u8hwnMObwYgyPRz42nAkezVuvX%2BIQrrlt8yvqJb%2FTNB7VqKLcG9mqVIV45XUPT%2BqH7Zgs%2FQdS9i9A%2FNzqjuvt3uE%2FXuJ%2FFsiX2u0ZHRutAkCI8vFQD2rY0jockrqV6NtkSMiNtd%2F5Jkw1lvucJGNIi8yTfRUCuZEFsHVxn4n4kK5inmKhlervE37P%2FpySE5Om4FB13ometVc%2FWw8vl5wiWMD6wQGAj0CE3jDNxhv4NAQ4Wky7476AXgwYWBrVpBoA%2FfAK56aFzle7bCjIk9Y9sQ%3D%3D%7Ctkp%3ABFBMgIK1-chl,,
5 in 1 Vegetable Chopper Safe Mandoline Slicer Food Potato Cutter Adjustable,₹1991,eBay,https://www.ebay.com/itm/166969168804?_skw=vegetable+cutter&itmmeta=01JS3SD83KA5852PBVQVHY51H7&hash=item26e02353a4:g:hPcAAOSwWJRm46ki&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ey74E0Xm4JZN3EWP5XgMj83mDLubUZo%2FYhlFCUNHwSLqJROpPuuR6x8%2Fyfe0o2ztYIKlzHgSEVHnBWk387BGtIssz72LDq4W5EoyGaCb2B7itHDWubGKuhMBqIIlSmB8t9RC%2BJdAobAvudmgCHNpCoK6MH1AGB%2BAul2RTJXl3imvTkPpHQeAoUkad49Q1iicbSLm%2BDjCCVG0zAyvYBSfveFo6asGITuj4HKhluKb%2FflRcHdNwrsCIdWYA4iXmgOLQxsx33MdTWf1EqP7LXPC2BCL0tsG%2FCq%2BtF23SHgSG82g%3D%3D%7Ctkp%3ABFBMgIK1-chl,,
Cabbage Slicer Vegetable Fruit Shredder Cutter Dicer Home Kitchen Peeler Graters,₹5477,eBay,https://www.ebay.com/itm/266563657962?_skw=vegetable+cutter&itmmeta=01JS3SD83KMCYWAPCNSKT0ZFY7&hash=item3e106ea0ea:g:mrkAAOSww4tleTZJ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dus5NtJS6CHrVuxcz42zGegM2%2BNX6mE904sdT4sCnieQy2ytyj%2FPd8a5KrAGUjtsBTPUq2mWr%2Bx3oSGqpbJOgMoIQjl4%2FRw7tPfmqFsDnJyNePDa8be1SyIvQ5D5JKhgBmFviKi3pwpWtLpW7sWJfC7ly3q5Hecro9xb29ruTpNm1SWbh3tOz8MgjJN%2FNuACw20zCg7vZ94GmyypmP8EiN%2F4xywisgxi6j1ANC1FvU%2FOzJdqSvnN4Mc8yPP952P2emPnE0EFGFf9CvcMxj2raSWbC4HTfV%2FSZYZsh02b4L5A%3D%3D%7Ctkp%3ABFBMgIK1-chl,,
15 In 1 Fruit Vegetable Slicer Cutter Food Onion Veggie Dicer Chopper Kitchen US,₹1432,eBay,https://www.ebay.com/itm/135218705592?_skw=vegetable+cutter&itmmeta=01JS3SD83KT1Z6GWEM50KM5PB3&hash=item1f7ba9b4b8:g:k9IAAOSwbDlm0K-c&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dXXA8hgFX%2BMwS2h%2BOEhQ0kPfO3SFhwPgGLlWe88yvNU3kzjvtomaNpF2Rlh2wsKNLRqEYvhPtpoXBMX2Q6Rc9J31BeUHBFBYUcYSJ6ZyrD3piXML4c%2Bn%2BefwaBFkiATERiEEX6J%2B0aGhDvqqtgTSy6JEjbuBtZLM%2BxpQ9t29sJjVQcIG4lXiGAB%2B02jDRuuD1t4SKfYmVJcyp4nkHyPI21ga2cAv2mTvN3d7akv0MRo3KlmJ4q8Itw2D%2FRKZ%2FR0fwKaoMfI2fF2uaUL9DSHFKmOSgd%2FIP7qhvgEU9z73tGMw%3D%3D%7Ctkp%3ABFBMgIK1-chl,,
Fruit Vegetable Cutter Tomato Potato Lemon Slicer for Kitchen gadgets tools,₹986,eBay,https://www.ebay.com/itm/226536752855?_skw=vegetable+cutter&itmmeta=01JS3SD83KAEZ5TM24JWHRPS2G&hash=item34bea486d7:g:LmAAAOSwRCJngMiy&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eTetNOKWjXj6hSOqcFB8Q5OASWT7nA2RZhB64enqh%2BSm17eSHg3eoMQpZEkx6prbbFuXxc7U0OETNwYAh1SYT2aobd%2F%2B6h0xyZLd7VNrdZA%2FZg4F2eXVibxB%2FzJVDkYegDK19ncjHBcydILseHzsGQeZM6ZnbN3NQUTkBwRU3sbqSGIzUBQeYcYOlOdRsRWQIVmehx2ex7GSUlk9CwZYbQe44VcxujC4X9PbS9Aexx6l0Xa6D%2BdhsCCCOh7CJXiZLFX6L5Wpo94EsDYM4iZlXPzs%2FkDcWWhj1HhG%2FMT2TFQw%3D%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
2Pcs Stainless Steel Vegetable Potato Peeler Carrot Fruit Slicer Cutter Grater,₹394,eBay,https://www.ebay.com/itm/126736195022?_skw=vegetable+cutter&itmmeta=01JS3SD83KH3VZRD2N16C2YSFV&hash=item1d8210ddce:g:sTkAAOSwD4tnFzzd&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fYhb01cHJhY5P%2Frhwk7xKOWaS2F1BrM1b5ZBlsSFm3im4rC9Fl8iSIfn1su20SoMWPavbx1%2BNu2kQojrkWRDuJC5%2B7fBIcatjirdfwCVj8x2r%2BClRBHbk1QS6FoRHa2eKSGrsq6zjPdarpPI65%2FAzxKsBmsDAJo9knNrYvtXIJo0sE%2Blh2xXSfhj9Ss5n9o7Xi6opPrVgIjbbiT%2BE%2FRG16T1eHh3erYQCLaRETcpYgQEjOupbtJmiz93QWxQMw5fY%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
15-In-1 Vegetable Fruit Chopper Cutter Food Onion Veggie Dicer Slicer Kitchen US,₹828,eBay,https://www.ebay.com/itm/205180421584?_skw=vegetable+cutter&itmmeta=01JS3SD83KK9WN714HFRK22FKJ&hash=item2fc5b4c5d0:g:LoQAAOSwSW5nY-VA&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e2GUaNKzhyQfU2%2F40E8BLqDty9oenIIU8M139zV8LZuNzddYD%2B4oBEnWfLRRkvfhYFaXZyTN%2B1%2BEPSsJ9Ie5OoSwd5IrCBIwGmvp%2FumlW5azOxpVEVrtOR0p1j4YvtXku3rSY%2BLSFDwZIboXMfX3r2o4nszspiJTp2jvULPhYgtVHINKUpeJSutWac%2B7tpockxRyRxoUTbOFa8GWx9sEshlbFIjZUvm32GCr97wa5uluip3Cy7WYeOBNVGZR%2Fp35G8Y8sR%2BFxRmtrgV%2BetLYCZAnQOgQhN0ALRhcHYdLLYIw%3D%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
"Stainless Steel Potato Peeler Fruit Vegetable Spud Speed, Slicer French Cutter",₹414,eBay,https://www.ebay.com/itm/195394534057?_skw=vegetable+cutter&itmmeta=01JS3SD83KZY1TGXDGVZWKJ86P&hash=item2d7e6bfaa9:g:s70AAOSw1WdjPB9m&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dEJNOHQ6ovvUonp%2BNAzSVDU0BM7DmZOY22gbe5ZA1lQYj0HiM%2FAHTEECyXSGN01uvvsBAJYXTgOkXBRK7YSCyPkPWA3t9wBoUT5K26mUnz5GPFZs7jUu%2BtYtd3UWhEe68zT8ZLZUmY8tMnEdlMz1j%2F3No%2BUb0qlow3%2Bie4r0K5NQ4uS0s30E2T6EQWD4tDyPPB0cyh1zoJ7q5Kf6NPoN97g1vroiK7AkoE8j7fzgb8pg2WMOznVcHZpk%2BhNGaG2lF%2BW0HthgSTJZpGYatkxeQVcRYsSZARVgJU9PdlKoeUlw%3D%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
"Manual Vegetable Grater & Slicer – Cabbage, Carrot, Food Processor Cutter",₹1245,eBay,https://www.ebay.com/itm/126923869056?_skw=vegetable+cutter&itmmeta=01JS3SD83KQA1RT2TD0DT40FVR&hash=item1d8d408b80:g:nbAAAOSwUcFnpHNY&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fy7mbMhWy7UkNoD5Wdh8l3pbbPV5Sz%2BWiax3l5QelA4zpWbEdljLixJqCJS1LHdxR1BtI9Cfas3clWlCdcFTh1EyRzu8uUlgkdaNMJuNVXp%2BiYnF55O8X12y9ZZ9egzzSyhwIiC8FFT6Wh50UYMM2S90O9iwkfcKJJiQqF6E83ekchEYvkoIZ5wA%2Fj3VOXyff%2BhCeLN5A6RdL2ds0EKcTl33SoJm4DzwsrjdVI2ssRHW2OitafZbAQJhXJZhNDsAk%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
5 in 1 Vegetable Chopper Safe Mandoline Slicer Food Potato Cutter Adjustable US,₹2326,eBay,https://www.ebay.com/itm/135687000957?_skw=vegetable+cutter&itmmeta=01JS3SD83KSPB0GXVSE5EQZERB&hash=item1f9793537d:g:zNoAAOSwsotn9uNh&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dzG5N57vqUr0auuQmVE%2Bta8ks3aWDoiy%2FKFI5UzBJdLnYEZFoPr11RAV4I3WdxHJh1IJXHg2YI8pdIpRPoBg%2FUZUtzP1CdXQzN3FrxRwTVfcZ659fp0%2Ftv8ogJfx9QFAAayvmFyB2wtzAwVsclgfdfn69zxnYRlN0RuSIS8Ac7aorf9u%2FseiRGJeTe2YfCqEux1m3u6aUXeozB0H5I3pLgwF0AvJeoqJLHQonZTp8Px9M%2FWEl0AsmoVwsobbTd0P4%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
